study,subNb,uniqueID,IRV_STAI_State,IRV_STAI_State_z,IRV_STAI_Trait,IRV_STAI_Trait_z,IRV_SRS,IRV_SRS_z,SHR,SHR_z,Syn,Syn_z,Ant,Ant_z,BDI_Q1,LSAS_Q1,IRV_avg,catchQ_BDI,catchQ_SRS,catchQ_STAI,catchQ_Total,catchQ_Acc,excluded_catchQs,excluded_IRV_STAI_State,excluded_IRV_STAI_Trait,excluded_IRV_SRS,excluded_IRV_avg,excluded_SHR,excluded_Syn,excluded_Ant,excluded_na,excluded,excluded2
1,29,29,0.598243042,-1.225054802,0.394034463,-1.667717443,0.674750666,-0.748287226,0.979385939,0.278344597,0.791255696,0.461214776,-0.054080584,1.410678243,1,0,-1.21368649,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,30,30,1.025978352,0.31587398,0.911909506,0.193123856,0.716562306,-0.516231377,0.974977228,0.040027798,0.943059376,1.402314371,-0.78926619,-1.021153909,0,1,-0.00241118,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,31,31,1.213953957,0.993061515,0.923380517,0.234341773,1.182809563,2.071454809,0.949979315,-1.311256568,0.324624231,-2.431644491,-0.310202414,0.56348361,2,3,1.099619366,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,32,32,0.87509398,-0.227691319,1.019545823,0.579885307,1.017396753,1.153408782,0.974881595,0.034858262,0.652762468,-0.397367316,-0.274515667,0.681527512,1,3,0.50186759,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,33,33,1.538967528,2.163932269,1.490319641,2.271481329,0.536190265,-1.517301589,0.993980347,1.067258257,0.981765195,1.642269229,-0.957325192,-1.577056094,0,1,0.972704003,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,34,34,1.332784975,1.42115368,0.716350399,-0.509563919,0.845804124,0.201064566,0.979439963,0.281264901,0.704110488,-0.079037738,-0.238449583,0.800826179,1,0,0.370884776,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,35,35,0.587142949,-1.265043207,1.095445115,0.852608505,0.961269193,0.841899147,0.978745138,0.243705531,0.535822859,-1.122328783,-0.327600832,0.505933473,1,2,0.143154815,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,36,36,1.429022485,1.767852084,1.531253357,2.41856536,1.096760965,1.593882527,0.961668746,-0.679373972,0.662530776,-0.336809158,-0.774275794,-0.971568978,3,0,1.926766657,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,37,37,1.465390194,1.898867803,1.182103388,1.163991137,0.700274671,-0.606628236,0.977582929,0.180881299,0.907166899,1.179800689,-0.748782271,-0.887242013,0,0,0.818743568,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,38,38,1.231174023,1.055097296,0.911909506,0.193123856,1.215880498,2.254999485,0.978579725,0.234764002,0.746840887,0.185867312,-0.449445688,0.102897511,0,1,1.167740212,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,39,39,1.100239208,0.583400855,1.23969436,1.370928426,0.60724789,-1.122929648,0.972947821,-0.069673607,0.932208379,1.335044138,-0.889731559,-1.353471232,1,0,0.277133211,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,40,40,1.165287405,0.817738858,1.35627198,1.78981799,0.682895419,-0.703083603,0.993711294,1.052714369,0.896220995,1.111942083,-0.83041924,-1.157279138,0,0,0.634824415,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
